,freq,top_func,optional_func,source,new_info_source,events,gamification,importance
11,Несколько раз в месяц,Проверка баланса,Расширенные отчеты по расходам и доходам,Социальные сети,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,Нейтрально,3
12,Ежедневно,Переводы и платежи,Вебинары и семинары по финансовой грамотности,Социальные сети,Telegram,Вебинары и семинары по финансовой грамотности,Нейтрально,3
13,Ежедневно,Другое (Проверка кредитного рейтинга),Дополнительные бонусы и скидки от партнеров,Социальные сети,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,Другое (Безразлично),5
14,Несколько раз в неделю,Финансовые консультации,Вебинары и семинары по финансовой грамотности,Социальные сети,Уведомления в мобильном приложении,Другое (Онлайн тренинги),Другое (Безразлично),4
15,Несколько раз в месяц,Переводы и платежи,Расширенные отчеты по расходам и доходам,Социальные сети,Электронная почта,Развлекательные мероприятия с участием банка,"Да, немного интереснее",4
16,Ежедневно,Другое (Проверка кредитного рейтинга),Личный финансовый аналитик,Рекомендации друзей и знакомых,Telegram,Финансовые челленджи и конкурсы,"Да, значительно интереснее",4
17,Несколько раз в месяц,Финансовые консультации,Вебинары и семинары по финансовой грамотности,Социальные сети,Социальные сети,Вебинары и семинары по финансовой грамотности,"Нет, это не влияет",5
18,Несколько раз в месяц,Другое (Проверка кредитного рейтинга),Расширенные отчеты по расходам и доходам,Реклама в интернете,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",5
19,Несколько раз в месяц,Участие в акциях и конкурсах,Финансовые игры и челленджи,Социальные сети,Telegram,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",3
20,Ежедневно,Другое (Проверка кредитного рейтинга),Расширенные отчеты по расходам и доходам,Социальные сети,Социальные сети,Развлекательные мероприятия с участием банка,"Да, немного интереснее",4
21,Несколько раз в неделю,Финансовые консультации,Финансовые игры и челленджи,Реклама в интернете,Социальные сети,Развлекательные мероприятия с участием банка,Нейтрально,3
22,Ежедневно,"Оформление продуктов (карты, кредиты)",Расширенные отчеты по расходам и доходам,Реклама в интернете,Telegram,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",3
23,Ежедневно,Финансовые консультации,Вебинары и семинары по финансовой грамотности,Социальные сети,Telegram,Спортивные мероприятия,Другое (Безразлично),5
24,Несколько раз в неделю,Переводы и платежи,Расширенные отчеты по расходам и доходам,Другое (Финансовые блоги),Telegram,Развлекательные мероприятия с участием банка,"Да, немного интереснее",3
25,Ежедневно,"Оформление продуктов (карты, кредиты)",Финансовые игры и челленджи,Рекомендации друзей и знакомых,Электронная почта,Развлекательные мероприятия с участием банка,"Да, немного интереснее",5
26,Ежедневно,Другое (Инвестиции и сбережения),Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Telegram,Вебинары и семинары по финансовой грамотности,"Да, значительно интереснее",2
27,Ежедневно,Финансовые консультации,Личный финансовый аналитик,Мероприятия и акции банка,Telegram,Другое (Онлайн тренинги),Нейтрально,5
28,Несколько раз в неделю,Финансовые консультации,Дополнительные бонусы и скидки от партнеров,Социальные сети,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Нет, это отвлекает",4
29,Несколько раз в месяц,Проверка баланса,Расширенные отчеты по расходам и доходам,Социальные сети,Telegram,Развлекательные мероприятия с участием банка,Другое (Безразлично),5
30,Несколько раз в месяц,"Оформление продуктов (карты, кредиты)",Личный финансовый аналитик,Реклама в интернете,Telegram,Другое (Онлайн тренинги),"Да, значительно интереснее",5
31,Ежедневно,Другое (Инвестиции и сбережения),Расширенные отчеты по расходам и доходам,Мероприятия и акции банка,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, немного интереснее",3
32,Несколько раз в месяц,Проверка баланса,Финансовые игры и челленджи,Рекомендации друзей и знакомых,Социальные сети,Развлекательные мероприятия с участием банка,"Да, немного интереснее",5
33,Ежедневно,Проверка баланса,Личный финансовый аналитик,Социальные сети,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,Нейтрально,3
34,Несколько раз в неделю,Участие в акциях и конкурсах,Финансовые игры и челленджи,Социальные сети,Социальные сети,Другое (Онлайн тренинги),"Да, значительно интереснее",1
35,Ежедневно,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Telegram,Финансовые челленджи и конкурсы,Нейтрально,1
36,Ежедневно,Другое (Инвестиции и сбережения),Финансовые игры и челленджи,Социальные сети,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",3
37,Ежедневно,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Социальные сети,Уведомления в мобильном приложении,Другое (Онлайн тренинги),"Да, немного интереснее",4
38,Ежедневно,Другое (Курсы финансовой грамотности),Расширенные отчеты по расходам и доходам,Реклама в интернете,Telegram,Финансовые челленджи и конкурсы,"Да, немного интереснее",3
39,Несколько раз в неделю,"Оформление продуктов (карты, кредиты)",Дополнительные бонусы и скидки от партнеров,Рекомендации друзей и знакомых,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Нет, это отвлекает",2
40,Несколько раз в месяц,Проверка баланса,Финансовые игры и челленджи,Социальные сети,Социальные сети,Встречи с финансовыми экспертами,"Да, немного интереснее",3
41,Ежедневно,Финансовые консультации,Расширенные отчеты по расходам и доходам,Другое (Финансовые блоги),Уведомления в мобильном приложении,Финансовые челленджи и конкурсы,Другое (Безразлично),5
42,Ежедневно,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,"Да, значительно интереснее",4
43,Несколько раз в неделю,Переводы и платежи,Финансовые игры и челленджи,Реклама в интернете,Другое,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",3
44,Несколько раз в месяц,"Оформление продуктов (карты, кредиты)",Дополнительные бонусы и скидки от партнеров,Социальные сети,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",5
45,Несколько раз в месяц,"Оформление продуктов (карты, кредиты)",Финансовые игры и челленджи,Реклама в интернете,Социальные сети,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",5
46,Ежедневно,"Оформление продуктов (карты, кредиты)",Вебинары и семинары по финансовой грамотности,Социальные сети,Telegram,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",1
47,Несколько раз в месяц,Другое (Проверка кредитного рейтинга),Расширенные отчеты по расходам и доходам,Социальные сети,Telegram,Встречи с финансовыми экспертами,"Да, значительно интереснее",4
48,Несколько раз в месяц,"Оформление продуктов (карты, кредиты)",Личный финансовый аналитик,Социальные сети,Telegram,Встречи с финансовыми экспертами,"Да, немного интереснее",3
49,Ежедневно,Переводы и платежи,Личный финансовый аналитик,Реклама в интернете,Другое,Другое (Онлайн тренинги),"Да, немного интереснее",4
50,Несколько раз в неделю,Финансовые консультации,Финансовые игры и челленджи,Реклама в интернете,Социальные сети,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",3
51,Несколько раз в месяц,Переводы и платежи,Вебинары и семинары по финансовой грамотности,Социальные сети,Telegram,Развлекательные мероприятия с участием банка,"Да, немного интереснее",3
52,Несколько раз в неделю,Участие в акциях и конкурсах,Вебинары и семинары по финансовой грамотности,Социальные сети,Другое,Развлекательные мероприятия с участием банка,Нейтрально,5
53,Ежедневно,Проверка баланса,Финансовые игры и челленджи,Социальные сети,Социальные сети,Развлекательные мероприятия с участием банка,Нейтрально,4
54,Ежедневно,Проверка баланса,Расширенные отчеты по расходам и доходам,Рекомендации друзей и знакомых,Telegram,Развлекательные мероприятия с участием банка,"Да, немного интереснее",3
55,Несколько раз в неделю,Финансовые консультации,Личный финансовый аналитик,Рекомендации друзей и знакомых,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,Нейтрально,4
56,Ежедневно,Переводы и платежи,Финансовые игры и челленджи,Рекомендации друзей и знакомых,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",5
57,Ежедневно,Участие в акциях и конкурсах,Личный финансовый аналитик,Рекомендации друзей и знакомых,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,"Да, значительно интереснее",5
58,Ежедневно,Финансовые консультации,Дополнительные бонусы и скидки от партнеров,Рекомендации друзей и знакомых,Электронная почта,Финансовые челленджи и конкурсы,Нейтрально,5
59,Ежедневно,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Мероприятия и акции банка,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Нет, это не влияет",4
60,Ежедневно,"Оформление продуктов (карты, кредиты)",Финансовые игры и челленджи,Социальные сети,Telegram,Другое (Онлайн тренинги),"Да, немного интереснее",4
61,Ежедневно,"Оформление продуктов (карты, кредиты)",Дополнительные бонусы и скидки от партнеров,Рекомендации друзей и знакомых,Уведомления в мобильном приложении,Финансовые челленджи и конкурсы,"Да, немного интереснее",3
62,Ежедневно,Финансовые консультации,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Другое,Развлекательные мероприятия с участием банка,"Да, немного интереснее",2
63,Несколько раз в неделю,Участие в акциях и конкурсах,Расширенные отчеты по расходам и доходам,Социальные сети,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,"Да, немного интереснее",4
64,Несколько раз в месяц,Участие в акциях и конкурсах,Дополнительные бонусы и скидки от партнеров,Рекомендации друзей и знакомых,Telegram,Финансовые челленджи и конкурсы,"Да, немного интереснее",5
65,Ежедневно,"Оформление продуктов (карты, кредиты)",Дополнительные бонусы и скидки от партнеров,Социальные сети,Социальные сети,Развлекательные мероприятия с участием банка,"Нет, это не влияет",4
66,Ежедневно,Финансовые консультации,Финансовые игры и челленджи,Рекомендации друзей и знакомых,Уведомления в мобильном приложении,Финансовые челленджи и конкурсы,"Нет, это отвлекает",5
67,Несколько раз в неделю,Финансовые консультации,Расширенные отчеты по расходам и доходам,Рекомендации друзей и знакомых,Другое,Вебинары и семинары по финансовой грамотности,"Нет, это не влияет",2
68,Не использую,Переводы и платежи,Вебинары и семинары по финансовой грамотности,Социальные сети,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Нет, это не влияет",5
69,Несколько раз в неделю,Переводы и платежи,Вебинары и семинары по финансовой грамотности,Социальные сети,Telegram,Вебинары и семинары по финансовой грамотности,Другое (Безразлично),4
70,Ежедневно,Переводы и платежи,Личный финансовый аналитик,Рекомендации друзей и знакомых,Другое,Вебинары и семинары по финансовой грамотности,Нейтрально,4
71,Ежедневно,Другое (Инвестиции и сбережения),Расширенные отчеты по расходам и доходам,Мероприятия и акции банка,Уведомления в мобильном приложении,Финансовые челленджи и конкурсы,"Нет, это не влияет",4
72,Несколько раз в месяц,Участие в акциях и конкурсах,Расширенные отчеты по расходам и доходам,Реклама в интернете,Электронная почта,Развлекательные мероприятия с участием банка,"Да, немного интереснее",3
73,Ежедневно,Проверка баланса,Финансовые игры и челленджи,Мероприятия и акции банка,Telegram,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",2
74,Ежедневно,Переводы и платежи,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Социальные сети,Развлекательные мероприятия с участием банка,Нейтрально,1
75,Несколько раз в неделю,Другое (Инвестиции и сбережения),Финансовые игры и челленджи,Рекомендации друзей и знакомых,Telegram,Встречи с финансовыми экспертами,"Нет, это отвлекает",5
76,Несколько раз в неделю,Другое (Курсы финансовой грамотности),Вебинары и семинары по финансовой грамотности,Реклама в интернете,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Да, значительно интереснее",5
77,Ежедневно,Финансовые консультации,Личный финансовый аналитик,Реклама в интернете,Другое,Встречи с финансовыми экспертами,"Да, значительно интереснее",1
78,Несколько раз в неделю,Другое (Инвестиции и сбережения),Вебинары и семинары по финансовой грамотности,Реклама в интернете,Социальные сети,Вебинары и семинары по финансовой грамотности,Другое (Безразлично),1
79,Ежедневно,Другое (Курсы финансовой грамотности),Дополнительные бонусы и скидки от партнеров,Мероприятия и акции банка,Социальные сети,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",5
80,Несколько раз в неделю,Участие в акциях и конкурсах,Дополнительные бонусы и скидки от партнеров,Социальные сети,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, немного интереснее",5
81,Несколько раз в неделю,Финансовые консультации,Финансовые игры и челленджи,Реклама в интернете,Социальные сети,Вебинары и семинары по финансовой грамотности,Нейтрально,4
82,Ежедневно,Проверка баланса,Финансовые игры и челленджи,Социальные сети,Социальные сети,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",5
83,Ежедневно,Переводы и платежи,Финансовые игры и челленджи,Реклама в интернете,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Нет, это не влияет",4
84,Ежедневно,Финансовые консультации,Личный финансовый аналитик,Реклама в интернете,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Нет, это не влияет",5
85,Ежедневно,Финансовые консультации,Личный финансовый аналитик,Реклама в интернете,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",5
86,Ежедневно,Проверка баланса,Расширенные отчеты по расходам и доходам,Мероприятия и акции банка,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",4
87,Ежедневно,Участие в акциях и конкурсах,Вебинары и семинары по финансовой грамотности,Реклама в интернете,Социальные сети,Финансовые челленджи и конкурсы,"Да, значительно интереснее",3
88,Ежедневно,Финансовые консультации,Вебинары и семинары по финансовой грамотности,Реклама в интернете,Электронная почта,Финансовые челленджи и конкурсы,"Да, значительно интереснее",3
89,Ежедневно,Другое (Финансовые советы и рекомендации),Расширенные отчеты по расходам и доходам,Социальные сети,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,Нейтрально,4
90,Несколько раз в месяц,Участие в акциях и конкурсах,Финансовые игры и челленджи,Реклама в интернете,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, немного интереснее",5
91,Несколько раз в неделю,Другое (Проверка кредитного рейтинга),Финансовые игры и челленджи,Социальные сети,Социальные сети,Развлекательные мероприятия с участием банка,"Да, немного интереснее",4
92,Несколько раз в неделю,Переводы и платежи,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Telegram,Финансовые челленджи и конкурсы,"Да, немного интереснее",3
93,Ежедневно,Проверка баланса,Личный финансовый аналитик,Социальные сети,Социальные сети,Спортивные мероприятия,"Да, значительно интереснее",4
94,Ежедневно,Переводы и платежи,Личный финансовый аналитик,Другое (Финансовые блоги),Telegram,Развлекательные мероприятия с участием банка,"Да, немного интереснее",4
95,Ежедневно,Участие в акциях и конкурсах,Дополнительные бонусы и скидки от партнеров,Социальные сети,Telegram,Спортивные мероприятия,"Нет, это не влияет",2
96,Несколько раз в неделю,"Оформление продуктов (карты, кредиты)",Финансовые игры и челленджи,Социальные сети,Электронная почта,Встречи с финансовыми экспертами,"Да, значительно интереснее",3
97,Ежедневно,Финансовые консультации,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Социальные сети,Спортивные мероприятия,"Да, значительно интереснее",5
98,Несколько раз в неделю,Переводы и платежи,Дополнительные бонусы и скидки от партнеров,Социальные сети,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",4
99,Несколько раз в месяц,Переводы и платежи,Вебинары и семинары по финансовой грамотности,Мероприятия и акции банка,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,Нейтрально,4
100,Ежедневно,Переводы и платежи,Расширенные отчеты по расходам и доходам,Реклама в интернете,Telegram,Спортивные мероприятия,"Да, значительно интереснее",3
101,Несколько раз в месяц,Финансовые консультации,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Электронная почта,Развлекательные мероприятия с участием банка,"Да, немного интереснее",4
102,Ежедневно,"Оформление продуктов (карты, кредиты)",Расширенные отчеты по расходам и доходам,Реклама в интернете,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",3
103,Ежедневно,Участие в акциях и конкурсах,Личный финансовый аналитик,Социальные сети,Другое,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",5
104,Ежедневно,Другое (Инвестиции и сбережения),Расширенные отчеты по расходам и доходам,Реклама в интернете,Уведомления в мобильном приложении,Финансовые челленджи и конкурсы,"Да, значительно интереснее",4
105,Не использую,Участие в акциях и конкурсах,Расширенные отчеты по расходам и доходам,Социальные сети,Другое,Встречи с финансовыми экспертами,"Да, значительно интереснее",3
106,Ежедневно,Финансовые консультации,Личный финансовый аналитик,Мероприятия и акции банка,Telegram,Другое (Онлайн тренинги),"Да, значительно интереснее",5
107,Ежедневно,Переводы и платежи,Личный финансовый аналитик,Реклама в интернете,Telegram,Финансовые челленджи и конкурсы,Другое (Безразлично),4
108,Несколько раз в месяц,Финансовые консультации,Расширенные отчеты по расходам и доходам,Реклама в интернете,Электронная почта,Финансовые челленджи и конкурсы,"Да, немного интереснее",3
109,Несколько раз в неделю,Финансовые консультации,Дополнительные бонусы и скидки от партнеров,Социальные сети,Другое,Финансовые челленджи и конкурсы,"Нет, это не влияет",4
110,Ежедневно,Проверка баланса,Расширенные отчеты по расходам и доходам,Социальные сети,Telegram,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",3
111,Ежедневно,Финансовые консультации,Финансовые игры и челленджи,Мероприятия и акции банка,Социальные сети,Развлекательные мероприятия с участием банка,"Да, немного интереснее",4
112,Ежедневно,Финансовые консультации,Финансовые игры и челленджи,Реклама в интернете,Социальные сети,Встречи с финансовыми экспертами,"Да, значительно интереснее",5
113,Ежедневно,Другое (Курсы финансовой грамотности),Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Социальные сети,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",5
114,Несколько раз в месяц,Финансовые консультации,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Уведомления в мобильном приложении,Спортивные мероприятия,"Да, немного интереснее",5
115,Несколько раз в месяц,Другое (Инвестиции и сбережения),Финансовые игры и челленджи,Реклама в интернете,Социальные сети,Развлекательные мероприятия с участием банка,Нейтрально,2
116,Несколько раз в неделю,Участие в акциях и конкурсах,Финансовые игры и челленджи,Рекомендации друзей и знакомых,Telegram,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",4
117,Несколько раз в месяц,Участие в акциях и конкурсах,Вебинары и семинары по финансовой грамотности,Реклама в интернете,Социальные сети,Развлекательные мероприятия с участием банка,"Да, немного интереснее",5
118,Ежедневно,Финансовые консультации,Личный финансовый аналитик,Социальные сети,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,Другое (Безразлично),5
119,Несколько раз в неделю,Участие в акциях и конкурсах,Финансовые игры и челленджи,Мероприятия и акции банка,Telegram,Другое (Онлайн тренинги),"Да, значительно интереснее",3
120,Несколько раз в месяц,"Оформление продуктов (карты, кредиты)",Дополнительные бонусы и скидки от партнеров,Мероприятия и акции банка,Уведомления в мобильном приложении,Другое (Онлайн тренинги),"Нет, это отвлекает",4
121,Ежедневно,Проверка баланса,Финансовые игры и челленджи,Социальные сети,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",2
122,Очень редко,Финансовые консультации,Вебинары и семинары по финансовой грамотности,Социальные сети,Уведомления в мобильном приложении,Финансовые челленджи и конкурсы,"Да, значительно интереснее",4
123,Несколько раз в месяц,Другое (Проверка кредитного рейтинга),Вебинары и семинары по финансовой грамотности,Социальные сети,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Нет, это не влияет",5
124,Несколько раз в неделю,Финансовые консультации,Дополнительные бонусы и скидки от партнеров,Социальные сети,Telegram,Другое (Онлайн тренинги),"Да, немного интереснее",5
125,Несколько раз в месяц,Проверка баланса,Финансовые игры и челленджи,Социальные сети,Telegram,Другое (Онлайн тренинги),"Нет, это не влияет",3
126,Несколько раз в месяц,Проверка баланса,Финансовые игры и челленджи,Социальные сети,Telegram,Развлекательные мероприятия с участием банка,Нейтрально,3
127,Несколько раз в месяц,Переводы и платежи,Личный финансовый аналитик,Социальные сети,Социальные сети,Финансовые челленджи и конкурсы,"Да, значительно интереснее",3
128,Несколько раз в месяц,Другое (Проверка кредитного рейтинга),Дополнительные бонусы и скидки от партнеров,Социальные сети,Социальные сети,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",5
129,Несколько раз в неделю,Другое (Финансовые советы и рекомендации),Финансовые игры и челленджи,Мероприятия и акции банка,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,"Да, немного интереснее",3
130,Несколько раз в неделю,Финансовые консультации,Расширенные отчеты по расходам и доходам,Реклама в интернете,Электронная почта,Встречи с финансовыми экспертами,"Нет, это отвлекает",5
131,Несколько раз в месяц,Другое (Проверка кредитного рейтинга),Финансовые игры и челленджи,Социальные сети,Telegram,Другое (Онлайн тренинги),"Да, значительно интереснее",4
132,Ежедневно,Другое (Курсы финансовой грамотности),Расширенные отчеты по расходам и доходам,Мероприятия и акции банка,Telegram,Финансовые челленджи и конкурсы,"Да, немного интереснее",4
